ID,"Decoded Confusion Timestamps (deciseconds, 0-3 rating)"
B1C,"[(0, 0), (559, 1), (589, 0), (876, 1), (891, 0), (1743, 1), (1906, 2), (2031, 3), (2137, 2), (2207, 1), (2318, 2), (2534, 3), (2699, 0), (3536, 1), (3641, 2), (3845, 0), (4205, 2), (4422, 1), (4511, 2)]"
B2N,"[(0, 0), (124, 1), (215, 0), (270, 1), (332, 0), (380, 1), (433, 2), (529, 3), (968, 2), (1004, 1), (1130, 2), (1138, 1), (1323, 2), (1351, 0), (1496, 1), (1522, 0), (1855, 1), (1923, 2), (1933, 0), (1995, 1), (2031, 0), (2082, 2), (2093, 1), (2101, 0), (2167, 1), (2208, 2), (2293, 3), (2490, 2), (2515, 3), (2712, 0), (3325, 1), (3446, 0), (3593, 1), (3638, 2), (3648, 0), (3753, 1), (3809, 0), (4217, 1), (4236, 0), (4294, 1), (4319, 0), (4473, 1), (4487, 0), (4609, 1), (4618, 0)]"
B3C,"[(0, 0), (1251, 1), (1352, 2), (1450, 3), (2137, 2), (2147, 1), (2241, 0), (2353, 1), (2359, 0), (2600, 1), (2690, 0), (2889, 1), (2923, 2), (3102, 3), (3157, 1), (3398, 2), (3405, 1), (3414, 0), (3430, 1), (3653, 2), (3699, 1), (3714, 0), (3899, 1)]"
B4N,"[(0, 0), (35, 1), (75, 1), (116, 0), (160, 0), (482, 1), (506, 0), (538, 1), (549, 0), (1596, 1), (1702, 0), (1807, 1), (2078, 2), (2860, 1), (3094, 2), (3411, 1), (3959, 0), (4202, 2)]"
B5C,"[(0, 0), (83, 0), (1200, 3), (1481, 1), (1760, 2), (1796, 3), (2230, 0), (2386, 1), (2455, 2), (2462, 1), (2646, 0), (3635, 1), (3692, 0), (3884, 1), (3955, 0)]"
B6N,"[(0, 0), (215, 1), (333, 0), (556, 1), (625, 0), (803, 1), (841, 0), (1396, 1), (1465, 0), (1612, 1), (1887, 0), (1904, 2), (1997, 0), (2006, 1), (2070, 0), (2330, 1), (2360, 2), (2617, 0), (2710, 1), (2837, 2), (2897, 0), (3332, 1), (3371, 2), (3418, 0)]"
B7C,"[(0, 0), (93, 0), (124, 1), (197, 0), (478, 1), (529, 2), (662, 1), (710, 2), (848, 3), (1012, 2), (1423, 0), (3312, 1), (3341, 0), (3467, 1), (3483, 2), (3540, 0), (3633, 1), (3672, 2), (3699, 0), (4487, 1), (4571, 0)]"
B8N,"[(0, 0), (1856, 1), (1889, 0), (2173, 1), (2217, 0), (3079, 1), (3100, 0), (3286, 1), (3316, 2), (3513, 0), (3606, 1), (3699, 0), (3921, 1), (4068, 0), (4122, 2), (4243, 3), (4325, 0)]"
B9C,"[(0, 0), (1270, 1), (1282, 0), (1328, 1), (1332, 0), (1505, 1), (2006, 2), (2806, 1), (2892, 0), (3152, 1), (3166, 0)]"
B10N,"[(0, 0), (543, 1), (601, 0), (1400, 2), (1473, 3), (1637, 2), (2467, 3), (2747, 2), (3214, 3), (4074, 2), (4191, 1), (4206, 2)]"
B11C,"[(0, 0), (199, 1), (320, 2), (378, 1), (422, 2), (861, 1), (1354, 2), (1521, 3), (1749, 0), (1976, 1), (2126, 2), (2149, 1), (2192, 2), (2274, 3), (3264, 2), (3350, 1), (3409, 2), (3562, 1), (3851, 2), (4135, 1), (4199, 2), (4519, 3), (4537, 1), (4615, 2), (4878, 1)]"
B12N,"[(0, 0), (400, 1), (429, 0), (1184, 1), (1211, 2), (1232, 3), (2106, 1), (2128, 0), (2417, 1), (2442, 0), (2717, 1), (2985, 0), (3321, 1), (3805, 2), (3843, 0), (3859, 1), (3889, 2), (3918, 3)]"
B13C,"[(0, 0), (277, 1), (396, 0), (584, 1), (609, 0), (1397, 1), (1472, 2), (1488, 1), (1604, 2), (1672, 1), (1821, 0), (2012, 1), (2275, 2), (2407, 1), (2613, 0), (3002, 1), (3131, 2), (3221, 1), (3268, 0)]"
B14N,"[(0, 0), (191, 1), (207, 0), (529, 1), (690, 0), (836, 1), (845, 0), (1737, 1), (1809, 2), (1836, 1), (1869, 0), (2049, 1), (2211, 0), (2318, 1), (2404, 2), (2416, 1), (2493, 0), (2776, 1), (2813, 0), (2938, 1), (2963, 0), (3186, 1), (3239, 2), (3263, 1), (3314, 2), (3395, 1), (3421, 0), (3843, 1), (3860, 2), (3919, 3), (4033, 2), (4046, 1), (4110, 0), (4146, 2), (4178, 3), (4259, 2), (4332, 1), (4395, 0), (4407, 1), (4498, 0)]"
B15C,"[(0, 0), (140, 1), (173, 2), (362, 1), (481, 0), (639, 1), (745, 0), (978, 1), (1150, 2), (1221, 0), (1947, 1), (1989, 2), (2027, 3), (2108, 1), (2238, 0), (2853, 2), (2992, 3), (3074, 2), (3276, 1), (3517, 2), (3538, 0), (3770, 1), (3810, 0), (4576, 1), (4631, 0)]"
B16N,"[(0, 0), (335, 1), (413, 0), (454, 1), (531, 2), (570, 0), (1741, 1), (1755, 0), (1826, 1), (1878, 0), (2209, 1), (2305, 2), (2465, 3), (2849, 1), (3232, 0), (4157, 1), (4171, 2)]"
I1,"[(0, 0), (166, 1), (362, 2), (415, 3), (446, 2), (502, 0), (1744, 1), (1889, 2), (2072, 3), (2171, 2), (2273, 1), (2318, 0), (2381, 1), (2603, 2), (2755, 0), (3731, 1), (4002, 0), (4177, 2), (4211, 3), (4431, 0)]"
I2,"[(0, 0), (154, 1), (530, 0), (795, 2), (924, 3), (1119, 2), (1288, 0), (2100, 1), (2268, 3), (2314, 2), (2599, 0), (2998, 2), (3113, 3), (3116, 3), (3225, 0), (3269, 2), (3286, 1), (3320, 0), (3432, 2), (3629, 0), (4165, 1), (4203, 0), (4891, 1)]"
